GEOID,county,date,mean,year
51077,Grayson,2024-04-01,0.5538834663900999,2024
51067,Franklin,2024-04-01,0.6766986638307572,2024
51023,Botetourt,2024-04-01,0.5280436277389526,2024
51015,Augusta,2024-04-01,0.5799556117918756,2024
51077,Grayson,2024-04-08,0.5246375203132629,2024
51067,Franklin,2024-04-08,0.6930683605360946,2024
51023,Botetourt,2024-04-08,0.5530982049640994,2024
51015,Augusta,2024-04-08,0.6387116827220324,2024
51093,Isle of Wight,2024-04-08,0.5037995568866287,2024
51175,Southampton,2024-04-08,0.522748302723879,2024
51159,Richmond,2024-04-08,0.5882158255787716,2024
51183,Sussex,2024-04-08,0.5813218286509887,2024
51165,Rockingham,2024-04-08,0.68638705386669,2024
51800,Suffolk,2024-04-08,0.5516836605956126,2024
51067,Franklin,2024-04-15,0.6823151223361492,2024
51023,Botetourt,2024-04-15,0.6192847098988616,2024
51015,Augusta,2024-04-15,0.6206810399889946,2024
51093,Isle of Wight,2024-04-15,0.5652991235256195,2024
51175,Southampton,2024-04-15,0.4951074294524237,2024
51183,Sussex,2024-04-15,0.5541563868452439,2024
51800,Suffolk,2024-04-15,0.5029831486088889,2024
51620,Franklin,2024-04-15,0.3932325392961502,2024
51077,Grayson,2024-04-22,0.7624886631965637,2024
51015,Augusta,2024-04-22,0.6409689000425725,2024
51093,Isle of Wight,2024-04-22,0.53101356800764,2024
51175,Southampton,2024-04-22,0.5337794208117059,2024
51159,Richmond,2024-04-22,0.6113363027527908,2024
51183,Sussex,2024-04-22,0.5592182575683773,2024
51165,Rockingham,2024-04-22,0.6610996127645554,2024
51800,Suffolk,2024-04-22,0.5592566724538598,2024
51620,Franklin,2024-04-22,0.3487711830116878,2024
51077,Grayson,2024-04-29,0.7084182175761023,2024
51067,Franklin,2024-04-29,0.668503028304563,2024
51023,Botetourt,2024-04-29,0.648143561615918,2024
51015,Augusta,2024-04-29,0.4513578116893768,2024
51093,Isle of Wight,2024-04-29,0.5751702987166293,2024
51175,Southampton,2024-04-29,0.580334065261737,2024
51183,Sussex,2024-04-29,0.52836345632871,2024
51800,Suffolk,2024-04-29,0.625728990143158,2024
51620,Franklin,2024-04-29,0.5822387428155967,2024
51067,Franklin,2024-05-06,0.6514900888692889,2024
51023,Botetourt,2024-05-06,0.655492145019614,2024
51015,Augusta,2024-05-06,0.6159553508280258,2024
51165,Rockingham,2024-05-06,0.5914679521435213,2024
51077,Grayson,2024-05-13,0.771825398134798,2024
51067,Franklin,2024-05-13,0.5960389971733093,2024
51023,Botetourt,2024-05-13,0.634017155268032,2024
51015,Augusta,2024-05-13,0.6593057337072021,2024
51165,Rockingham,2024-05-13,0.8174031376838684,2024
51077,Grayson,2024-05-20,0.5968472957611084,2024
51093,Isle of Wight,2024-05-20,0.5956812832525551,2024
51175,Southampton,2024-05-20,0.5966442053514776,2024
51159,Richmond,2024-05-20,0.6028339938290004,2024
51183,Sussex,2024-05-20,0.6210025180058647,2024
51800,Suffolk,2024-05-20,0.6082954279718362,2024
51620,Franklin,2024-05-20,0.5475745273527698,2024
51760,Richmond,2024-05-20,0.7440622448921204,2024
51067,Franklin,2024-05-27,0.6658322189076757,2024
51023,Botetourt,2024-05-27,0.6618106554855,2024
51015,Augusta,2024-05-27,0.5781120512288903,2024
51093,Isle of Wight,2024-05-27,0.6203693008982363,2024
51175,Southampton,2024-05-27,0.6469436400521694,2024
51159,Richmond,2024-05-27,0.6260861778395669,2024
51183,Sussex,2024-05-27,0.631503965916457,2024
51165,Rockingham,2024-05-27,0.5576270366703052,2024
51800,Suffolk,2024-05-27,0.6200637747796017,2024
51620,Franklin,2024-05-27,0.4655486353646929,2024
51077,Grayson,2024-06-03,0.6229694933444456,2024
51067,Franklin,2024-06-03,0.6556201468081619,2024
51023,Botetourt,2024-06-03,0.6213276439681732,2024
51015,Augusta,2024-06-03,0.625557520126847,2024
51093,Isle of Wight,2024-06-03,0.6054137369265262,2024
51175,Southampton,2024-06-03,0.6040844855967428,2024
51183,Sussex,2024-06-03,0.6505135595798492,2024
51165,Rockingham,2024-06-03,0.6013634952063781,2024
51800,Suffolk,2024-06-03,0.6316254945812092,2024
51077,Grayson,2024-06-10,0.7726810574531555,2024
51067,Franklin,2024-06-10,0.6812065966858164,2024
51023,Botetourt,2024-06-10,0.6278117476102558,2024
51015,Augusta,2024-06-10,0.5937650555830677,2024
51093,Isle of Wight,2024-06-10,0.6140860277357287,2024
51175,Southampton,2024-06-10,0.6455525671098247,2024
51159,Richmond,2024-06-10,0.611232576744905,2024
51183,Sussex,2024-06-10,0.656670816343834,2024
51165,Rockingham,2024-06-10,0.5734950577080641,2024
51800,Suffolk,2024-06-10,0.610861443161615,2024
51620,Franklin,2024-06-10,0.4970191441406713,2024
51077,Grayson,2024-06-17,0.6600130575161162,2024
51067,Franklin,2024-06-17,0.6858814090112513,2024
51023,Botetourt,2024-06-17,0.6293219455193477,2024
51015,Augusta,2024-06-17,0.6327253440507693,2024
51093,Isle of Wight,2024-06-17,0.6129588659086415,2024
51175,Southampton,2024-06-17,0.6143700672837197,2024
51159,Richmond,2024-06-17,0.5831511701242105,2024
51183,Sussex,2024-06-17,0.6419807182068415,2024
51165,Rockingham,2024-06-17,0.6055232668774694,2024
51800,Suffolk,2024-06-17,0.6153483676370562,2024
51620,Franklin,2024-06-17,0.5682375389281834,2024
51760,Richmond,2024-06-17,0.7091585397720337,2024
51077,Grayson,2024-06-24,0.5842418074607849,2024
51067,Franklin,2024-06-24,0.590328574180603,2024
51023,Botetourt,2024-06-24,0.5891100607531251,2024
51015,Augusta,2024-06-24,0.5821184165186567,2024
51165,Rockingham,2024-06-24,0.6084152611911291,2024
51077,Grayson,2024-07-01,0.7078649997711182,2024
51067,Franklin,2024-07-01,0.7480020067036511,2024
51023,Botetourt,2024-07-01,0.7326824172185018,2024
51015,Augusta,2024-07-01,0.7196792033307707,2024
51093,Isle of Wight,2024-07-01,0.6831104226928718,2024
51175,Southampton,2024-07-01,0.7109874805817133,2024
51159,Richmond,2024-07-01,0.6880254274751393,2024
51183,Sussex,2024-07-01,0.6762759880859313,2024
51165,Rockingham,2024-07-01,0.7205269319586118,2024
51800,Suffolk,2024-07-01,0.7125872096058136,2024
51620,Franklin,2024-07-01,0.5950819722243718,2024
51077,Grayson,2024-07-08,0.7446444431940714,2024
