satellite,year,month,month_name,date,peak_NDVI,peak_GOSAVI,peak_GDVI,peak_EVI,peak_CVI,image_count,data_available,has_blue_band,total_corn_area_m2
Landsat4_TM,1987.0,6.0,Jun,1987-06,0.6492105248027067,0.4626739297260608,0.8932848713496335,0.4772755047735037,4.3517568521882,3,true,true,2.3231864894117637E9
Landsat4_TM,1987.0,7.0,Jul,1987-07,0.6811779107796716,0.4762615004254249,0.9181783049824838,0.5351206542610815,3.9203645855513134,6,true,true,2.3231864894117637E9
Landsat4_TM,1989.0,7.0,Jul,1989-07,0.7085663468063479,0.4977722854064508,0.9282354624291759,0.5667328040454247,4.421172312577843,2,true,true,2.3231864894117637E9
Landsat4_TM,1991.0,8.0,Aug,1991-08,,,,,,1,true,true,2.3231864894117637E9
Landsat5_TM,1984.0,5.0,May,1984-05,0.38399730756429323,0.2715979367708417,0.5973118142419443,0.5005963863246357,2.439094102868815,16,true,true,2.3231864894117637E9
Landsat5_TM,1984.0,6.0,Jun,1984-06,0.47112000140018917,0.3438765306569442,0.7111970913665584,0.5098675387308571,3.2776679402767472,21,true,true,2.3231864894117637E9
Landsat5_TM,1984.0,7.0,Jul,1984-07,0.6165401393747341,0.44047225188520156,0.8703405544900794,0.6194516165960964,3.965681759867049,11,true,true,2.3231864894117637E9
Landsat5_TM,1984.0,8.0,Aug,1984-08,0.6244522798184181,0.41835414440249274,0.8162605721518327,0.5179420816434734,3.8639755558620874,9,true,true,2.3231864894117637E9
Landsat5_TM,1984.0,9.0,Sep,1984-09,0.7019176714261042,0.4839718553311012,0.9231143220375553,0.5361729546923842,4.546422990840821,20,true,true,2.3231864894117637E9
Landsat5_TM,1985.0,5.0,May,1985-05,0.5439717678739638,0.40134044800392155,0.8258256648943758,0.39982470877641607,3.521992729498893,3,true,true,2.3231864894117637E9
Landsat5_TM,1985.0,6.0,Jun,1985-06,0.6056747054964255,0.4411036550849239,0.8576011963464246,0.45855825176162784,4.042849850440508,7,true,true,2.3231864894117637E9
Landsat5_TM,1985.0,7.0,Jul,1985-07,0.687172930514437,0.4769239108343088,0.9148512326098729,0.6401180317169235,3.552358438713174,5,true,true,2.3231864894117637E9
Landsat5_TM,1985.0,8.0,Aug,1985-08,0.7420135398615688,0.5069465304205262,0.9464865464834861,0.6342169425500747,4.227652995833536,21,true,true,2.3231864894117637E9
Landsat5_TM,1985.0,9.0,Sep,1985-09,0.6993722074896597,0.4762576935436072,0.9248272650281472,0.505804225291415,4.6678132748752486,21,true,true,2.3231864894117637E9
Landsat5_TM,1986.0,5.0,May,1986-05,0.5197803112841303,0.38029606510477054,0.7949669999480149,0.4129693015825818,3.169663556733053,17,true,true,2.3231864894117637E9
Landsat5_TM,1986.0,6.0,Jun,1986-06,0.5839052057966265,0.420853676345197,0.8312395111106153,0.5444664685041327,3.919899021910997,25,true,true,2.3231864894117637E9
Landsat5_TM,1986.0,7.0,Jul,1986-07,0.6039499477642781,0.4248808800601836,0.851369079660192,0.5090580759987738,3.4983024356747197,20,true,true,2.3231864894117637E9
Landsat5_TM,1986.0,8.0,Aug,1986-08,0.7187127796540477,0.48808713401355597,0.9354570252738915,0.5869435117205817,4.340476468479046,27,true,true,2.3231864894117637E9
Landsat5_TM,1986.0,9.0,Sep,1986-09,0.7031599018092372,0.473495668805915,0.9290643364515785,0.52345104745401,4.255072041763228,25,true,true,2.3231864894117637E9
Landsat5_TM,1987.0,5.0,May,1987-05,0.6180638324592334,0.432720967123046,0.8678484463907213,0.4591284907895332,3.699177046352589,24,true,true,2.3231864894117637E9
Landsat5_TM,1987.0,6.0,Jun,1987-06,0.626456256921701,0.4462659399160324,0.8796106635384153,0.49736291415128053,3.8862847214385186,22,true,true,2.3231864894117637E9
