Year,county_name,state_alpha,Harvested,Planted
2000,ACCOMACK,VA,21000,21000
2000,ALAMANCE,NC,2500,5000
2000,ALBEMARLE,VA,1800,3600
2000,ALEXANDER,NC,1912.5,3900
2000,ALLEGHANY,NC,3000,3000
2000,ALLEGHANY,VA,500,700
2000,AMELIA,VA,2050,4100
2000,AMHERST,VA,700,800
2000,ANSON,NC,5600,5800
2000,APPOMATTOX,VA,750,1600
2000,AUGUSTA,VA,11500,23000
2000,BATH,VA,NA,500
2000,BEAUFORT,NC,43200,43500
2000,BEDFORD,VA,2000,4000
2000,BERTIE,NC,18700,18800
2000,BLADEN,NC,19600,19700
2000,BLAND,VA,1000,1000
2000,BOTETOURT,VA,1500,3000
2000,BRUNSWICK,NC,5100,5200
2000,BRUNSWICK,VA,700,1100
2000,BUCKINGHAM,VA,NA,800
2000,BUNCOMBE,NC,2000,2150
2000,BURKE,NC,600,1200
2000,CABARRUS,NC,2100,4200
2000,CALDWELL,NC,675,1400
2000,CAMDEN,NC,15500,15600
2000,CAMPBELL,VA,2350,4800
2000,CAROLINE,VA,4950,10000
2000,CARROLL,VA,2000,2000
2000,CARTERET,NC,19000,19100
2000,CASWELL,NC,575,1150
2000,CATAWBA,NC,1600,3200
2000,CHARLES CITY,VA,5100,5200
2000,CHARLOTTE,VA,1000,2000
2000,CHATHAM,NC,1237.5,2500
2000,CHEROKEE,NC,450,925
2000,CHESAPEAKE CITY,VA,6250,12600
2000,CHOWAN,NC,3400,3400
2000,CLARKE,VA,1800,4000
2000,CLAY,NC,275,425
2000,CLEVELAND,NC,1100,2200
2000,COLUMBUS,NC,26600,26800
2000,CRAIG,VA,NA,600
2000,CRAVEN,NC,13100,13200
2000,CULPEPER,VA,4900,10000
2000,CUMBERLAND,NC,8600,8700
2000,CUMBERLAND,VA,1350,2700
2000,CURRITUCK,NC,12700,12800
2000,DAVIDSON,NC,2600,5200
2000,DAVIE,NC,2000,4000
2000,DINWIDDIE,VA,1650,3300
2000,DUPLIN,NC,17125,34500
2000,EDGECOMBE,NC,12200,12400
2000,ESSEX,VA,15800,16000
2000,FAUQUIER,VA,6500,13000
2000,FLOYD,VA,3400,3400
2000,FLUVANNA,VA,1200,1200
2000,FORSYTH,NC,525,1050
2000,FRANKLIN,NC,1125,2250
2000,FRANKLIN,VA,7100,14500
2000,FREDERICK,VA,1500,2000
2000,GATES,NC,5100,5100
2000,GLOUCESTER,VA,6000,6000
2000,GOOCHLAND,VA,4300,4300
2000,GRANVILLE,NC,850,1700
2000,GRAYSON,VA,1300,1300
2000,GREENE,NC,10100,10200
2000,GREENE,VA,500,900
2000,GREENSVILLE,VA,1500,1500
2000,GUILFORD,NC,3650,7300
2000,HALIFAX,NC,2250,4600
2000,HALIFAX,VA,1850,3700
2000,HANOVER,VA,6850,14000
2000,HARNETT,NC,1900,3800
2000,HAYWOOD,NC,2400,2450
2000,HENDERSON,NC,2425,4900
2000,HENRICO,VA,2200,2200
2000,HERTFORD,NC,8200,8300
2000,HIGHLAND,VA,500,500
2000,HOKE,NC,1400,1400
2000,HYDE,NC,25600,25800
2000,IREDELL,NC,8350,16800
2000,ISLE OF WIGHT,VA,9400,9500
2000,JAMES CITY,VA,2000,2000
2000,JOHNSTON,NC,7200,7400
2000,JONES,NC,7300,7400
2000,KING AND QUEEN,VA,12000,12200
2000,KING GEORGE,VA,4200,4200
2000,KING WILLIAM,VA,5000,10000
2000,LANCASTER,VA,4700,4700
2000,LEE,NC,400,400
2000,LEE,VA,600,700
2000,LENOIR,NC,17400,17700
2000,LINCOLN,NC,1350,2700
2000,LOUDOUN,VA,4300,8800
2000,LOUISA,VA,2200,3000
2000,LUNENBURG,VA,500,NA
2000,MACON,NC,400,415
2000,MADISON,NC,300,320
2000,MADISON,VA,3250,6800
2000,MARTIN,NC,4400,4400
2000,MATHEWS,VA,1100,1100
2000,MCDOWELL,NC,375,750
2000,MECKLENBURG,NC,650,1300
2000,MECKLENBURG,VA,1000,1700
2000,MIDDLESEX,VA,5000,5000
2000,MONTGOMERY,NC,600,600
2000,MONTGOMERY,VA,1300,2600
2000,MOORE,NC,500,500
2000,NASH,NC,1600,1800
2000,NEW KENT,VA,4400,4400
2000,NORTHAMPTON,NC,2300,2400
2000,NORTHAMPTON,VA,3800,4000
2000,NORTHUMBERLAND,VA,14900,14900
2000,NOTTOWAY,VA,700,1500
2000,ONSLOW,NC,10600,10700
2000,ORANGE,NC,2000,4000
2000,ORANGE,VA,3450,7000
2000,OTHER (COMBINED) COUNTIES,NC,370.83333333333337,605
2000,OTHER (COMBINED) COUNTIES,VA,741.6666666666666,450
2000,PAGE,VA,1800,3800
2000,PAMLICO,NC,9300,9400
2000,PASQUOTANK,NC,18400,18500
2000,PATRICK,VA,800,1600
2000,PENDER,NC,10000,10100
2000,PERQUIMANS,NC,12800,12900
2000,PERSON,NC,1200,2400
2000,PITT,NC,16100,16200
2000,PITTSYLVANIA,VA,3900,8200
2000,POWHATAN,VA,1350,2700
2000,PRINCE EDWARD,VA,1400,2800
2000,PRINCE GEORGE,VA,4400,4400
2000,PRINCE WILLIAM,VA,1400,3000
2000,PULASKI,VA,2600,3000
2000,RANDOLPH,NC,3750,7500
2000,RAPPAHANNOCK,VA,600,1000
2000,RICHMOND,NC,850,900
2000,RICHMOND,VA,9800,10000
2000,ROBESON,NC,34600,34800
2000,ROCKBRIDGE,VA,2000,4000
2000,ROCKINGHAM,NC,1500,3000
2000,ROCKINGHAM,VA,16750,34000
2000,ROWAN,NC,3900,7900
2000,RUTHERFORD,NC,225,425
2000,SAMPSON,NC,11100,22300
2000,SCOTLAND,NC,900,900
2000,SCOTT,VA,1100,1200
2000,SHENANDOAH,VA,4350,9000
2000,SMYTH,VA,3800,4000
2000,SOUTHAMPTON,VA,8400,8500
2000,SPOTSYLVANIA,VA,2100,2500
2000,STAFFORD,VA,1500,1500
2000,STANLY,NC,4950,10000
2000,STOKES,NC,800,1600
2000,SUFFOLK CITY,VA,8500,8500
2000,SURRY,NC,2750,5500
2000,SURRY,VA,5300,5300
2000,SUSSEX,VA,4500,4500
2000,TAZEWELL,VA,1200,1200
2000,TRANSYLVANIA,NC,500,1000
2000,TYRRELL,NC,25800,26000
2000,UNION,NC,12650,25400
2000,VIRGINIA BEACH CITY,VA,7500,7500
2000,WAKE,NC,200,400
2000,WARREN,NC,625,1250
2000,WASHINGTON,NC,24800,25000
2000,WASHINGTON,VA,2650,5300
2000,WAYNE,NC,20800,21100
2000,WESTMORELAND,VA,12000,12200
2000,WILKES,NC,3650,7300
2000,WILSON,NC,4900,5000
2000,WYTHE,VA,3700,7500
2000,YADKIN,NC,5750,11600
2000,YANCEY,NC,200,215
2001,ACCOMACK,VA,22000,22000
2001,ALAMANCE,NC,2450,4900
2001,ALBEMARLE,VA,1650,3300
2001,ALEXANDER,NC,1650,3300
2001,ALLEGHANY,NC,3000,3000
2001,ALLEGHANY,VA,NA,500
2001,AMELIA,VA,2000,4000
2001,AMHERST,VA,600,700
2001,ANSON,NC,2900,5800
2001,APPOMATTOX,VA,900,1300
2001,ASHE,NC,200,200
2001,AUGUSTA,VA,10500,21000
2001,BATH,VA,NA,500
2001,BEAUFORT,NC,44600,45900
2001,BEDFORD,VA,1750,3500
2001,BERTIE,NC,16800,16800
2001,BLADEN,NC,19000,19100
2001,BLAND,VA,900,900
2001,BOTETOURT,VA,1400,2800
2001,BRUNSWICK,NC,4000,4000
2001,BRUNSWICK,VA,600,1000
2001,BUCKINGHAM,VA,NA,800
2001,BUNCOMBE,NC,1600,1765
2001,BURKE,NC,800,800
2001,CABARRUS,NC,1800,3600
2001,CALDWELL,NC,600,1200
2001,CAMDEN,NC,17100,17100
2001,CAMPBELL,VA,2300,4600
2001,CAROLINE,VA,5400,11000
2001,CARROLL,VA,1000,2000
2001,CARTERET,NC,20100,20100
2001,CASWELL,NC,625,1250
2001,CATAWBA,NC,1350,2700
2001,CHARLES CITY,VA,5400,5400
2001,CHARLOTTE,VA,1150,2300
2001,CHATHAM,NC,800,1600
2001,CHEROKEE,NC,362.5,725
2001,CHESAPEAKE CITY,VA,8000,16000
2001,CHOWAN,NC,3700,3700
2001,CLARKE,VA,1750,3500
2001,CLEVELAND,NC,1325,2700
2001,COLUMBUS,NC,25100,25200
2001,CRAIG,VA,500,600
2001,CRAVEN,NC,11400,11400
2001,CULPEPER,VA,4250,8500
2001,CUMBERLAND,VA,1100,2200
2001,CURRITUCK,NC,9900,9900
2001,DAVIDSON,NC,2900,5800
2001,DAVIE,NC,2300,4600
2001,DINWIDDIE,VA,1600,3200
2001,DUPLIN,NC,31800,31900
2001,EDGECOMBE,NC,8000,8000
2001,ESSEX,VA,17000,17000
2001,FAUQUIER,VA,5500,11000
2001,FLOYD,VA,3200,3300
2001,FLUVANNA,VA,900,1000
2001,FORSYTH,NC,1800,1850
2001,FRANKLIN,NC,825,875
2001,FRANKLIN,VA,6500,13000
2001,FREDERICK,VA,1000,2000
2001,GASTON,NC,1500,NA
2001,GATES,NC,6600,6600
2001,GLOUCESTER,VA,6200,6200
2001,GOOCHLAND,VA,4300,4300
2001,GRANVILLE,NC,800,1600
2001,GRAYSON,VA,700,1000
2001,GREENE,NC,9500,9500
2001,GREENE,VA,NA,800
2001,GREENSVILLE,VA,1100,1200
2001,GUILFORD,NC,3400,6800
2001,HALIFAX,NC,1725,3450
2001,HALIFAX,VA,1400,2800
2001,HANOVER,VA,6500,13000
2001,HARNETT,NC,1950,3900
2001,HAYWOOD,NC,2300,2310
2001,HENDERSON,NC,2200,4400
2001,HENRICO,VA,2100,2100
2001,HERTFORD,NC,8600,8600
2001,HIGHLAND,VA,500,500
2001,HOKE,NC,1000,1000
2001,HYDE,NC,26900,26900
2001,IREDELL,NC,7700,15400
2001,ISLE OF WIGHT,VA,9500,9700
2001,JAMES CITY,VA,1900,1900
2001,JOHNSTON,NC,6300,6350
2001,JONES,NC,6200,6200
2001,KING AND QUEEN,VA,12000,12000
2001,KING GEORGE,VA,4400,4400
2001,KING WILLIAM,VA,5850,12000
2001,LANCASTER,VA,5800,5800
2001,LEE,NC,400,400
2001,LEE,VA,500,700
2001,LENOIR,NC,16300,16300
2001,LINCOLN,NC,1175,2350
2001,LOUDOUN,VA,3950,8800
2001,LOUISA,VA,1350,2700
2001,MACON,NC,300,315
2001,MADISON,NC,250,365
2001,MADISON,VA,3400,6800
2001,MARTIN,NC,3200,3500
2001,MATHEWS,VA,1100,1100
2001,MCDOWELL,NC,500,600
2001,MECKLENBURG,NC,525,1050
2001,MECKLENBURG,VA,850,1700
2001,MIDDLESEX,VA,5500,5500
2001,MONTGOMERY,NC,500,500
2001,MONTGOMERY,VA,1150,2300
2001,MOORE,NC,875,875
2001,NASH,NC,1500,1500
2001,NEW HANOVER,NC,800,800
2001,NEW KENT,VA,4200,4200
2001,NORTHAMPTON,NC,2000,2050
2001,NORTHAMPTON,VA,6500,6500
2001,NORTHUMBERLAND,VA,14000,14000
2001,NOTTOWAY,VA,750,1600
2001,ONSLOW,NC,9600,9700
2001,ORANGE,NC,1450,2900
2001,ORANGE,VA,3150,6800
2001,OTHER (COMBINED) COUNTIES,NC,772.7272727272726,1554.1666666666663
2001,OTHER (COMBINED) COUNTIES,VA,661.5384615384615,380
2001,PAGE,VA,1600,3200
2001,PAMLICO,NC,8800,8800
2001,PASQUOTANK,NC,20800,20800
2001,PATRICK,VA,750,1500
2001,PENDER,NC,9900,9900
2001,PERQUIMANS,NC,14000,14000
2001,PERSON,NC,1100,2200
2001,PITT,NC,12100,12150
2001,PITTSYLVANIA,VA,3750,8300
2001,POLK,NC,200,210
2001,POWHATAN,VA,1250,2500
2001,PRINCE EDWARD,VA,1050,2400
2001,PRINCE GEORGE,VA,4700,4800
2001,PRINCE WILLIAM,VA,1300,2600
2001,PULASKI,VA,2600,3000
2001,RANDOLPH,NC,3550,7100
2001,RAPPAHANNOCK,VA,500,900
2001,RICHMOND,NC,675,675
2001,RICHMOND,VA,11000,12000
2001,ROBESON,NC,34300,34300
2001,ROCKBRIDGE,VA,1950,3900
2001,ROCKINGHAM,NC,1000,2000
2001,ROCKINGHAM,VA,17000,34000
2001,ROWAN,NC,3650,7300
2001,RUTHERFORD,NC,212.5,425
2001,SAMPSON,NC,10950,21900
2001,SCOTLAND,NC,800,800
2001,SCOTT,VA,800,1000
2001,SHENANDOAH,VA,4400,8800
2001,SMYTH,VA,3900,4000
2001,SOUTHAMPTON,VA,9600,9800
2001,SPOTSYLVANIA,VA,2500,2500
2001,STAFFORD,VA,1400,1600
2001,STANLY,NC,4450,9350
2001,STOKES,NC,425,850
2001,SUFFOLK CITY,VA,8900,8900
2001,SURRY,NC,2950,5900
2001,SURRY,VA,5900,5900
2001,SUSSEX,VA,4400,4400
2001,TAZEWELL,VA,900,900
2001,TRANSYLVANIA,NC,437.5,875
2001,TYRRELL,NC,26600,26600
2001,UNION,NC,14300,28600
2001,VIRGINIA BEACH CITY,VA,6400,6400
2001,WARREN,NC,575,1150
2001,WASHINGTON,NC,24100,24100
2001,WASHINGTON,VA,4900,5300
2001,WAYNE,NC,20500,20500
2001,WESTMORELAND,VA,12000,13000
2001,WILKES,NC,3750,7500
2001,WILSON,NC,5300,5300
2001,WYTHE,VA,3600,7200
2001,YADKIN,NC,5300,11200
2001,YANCEY,NC,200,210
2002,ACCOMACK,VA,24000,25000
2002,ALAMANCE,NC,2000,4100
2002,ALBEMARLE,VA,1150,2400
2002,ALEXANDER,NC,1550,3200
2002,ALLEGHANY,NC,2700,NA
2002,ALLEGHANY,VA,500,800
2002,AMELIA,VA,2900,5900
2002,ANSON,NC,3250,6700
2002,APPOMATTOX,VA,600,1200
2002,ASHE,NC,NA,150
2002,AUGUSTA,VA,12050,25000
2002,BEAUFORT,NC,42900,43400
2002,BEDFORD,VA,1650,3400
2002,BERTIE,NC,17500,18000
2002,BLADEN,NC,24200,24900
2002,BLAND,VA,1200,1200
2002,BOTETOURT,VA,1500,3100
2002,BRUNSWICK,NC,4900,5100
2002,BRUNSWICK,VA,500,1000
2002,BUCKINGHAM,VA,650,1400
2002,BUNCOMBE,NC,1700,NA
2002,BURKE,NC,800,900
2002,CABARRUS,NC,1875,3900
2002,CALDWELL,NC,650,1000
2002,CAMDEN,NC,16600,16800
2002,CAMPBELL,VA,1750,3800
2002,CAROLINE,VA,5350,11500
2002,CARROLL,VA,1700,1900
2002,CARTERET,NC,20500,20900
2002,CASWELL,NC,500,1050
2002,CATAWBA,NC,1250,2600
2002,CHARLES CITY,VA,5100,5300
2002,CHARLOTTE,VA,1200,2500
2002,CHATHAM,NC,1200,2500
2002,CHEROKEE,NC,400,800
2002,CHESAPEAKE CITY,VA,13500,14000
2002,CHOWAN,NC,3400,3500
2002,CLARKE,VA,2400,5100
2002,CLEVELAND,NC,1000,2100
2002,COLUMBUS,NC,31700,32500
2002,CRAIG,VA,NA,600
2002,CRAVEN,NC,10900,11100
2002,CULPEPER,VA,5650,12000
2002,CUMBERLAND,NC,8800,9400
2002,CUMBERLAND,VA,1100,1700
2002,CURRITUCK,NC,11400,11600
2002,DARE,NC,200,200
2002,DAVIDSON,NC,2775,5700
2002,DAVIE,NC,2475,5000
2002,DINWIDDIE,VA,1700,3400
2002,DUPLIN,NC,36500,38000
2002,EDGECOMBE,NC,11000,11300
2002,ESSEX,VA,16500,17000
2002,FAUQUIER,VA,6600,14000
2002,FLOYD,VA,1500,1800
2002,FLUVANNA,VA,1200,1500
2002,FORSYTH,NC,850,1750
2002,FRANKLIN,NC,950,1200
2002,FRANKLIN,VA,6200,13000
2002,FREDERICK,VA,1600,3400
2002,GASTON,NC,1500,NA
2002,GATES,NC,6100,6200
2002,GLOUCESTER,VA,6200,6400
2002,GOOCHLAND,VA,2500,5200
2002,GRANVILLE,NC,850,2000
2002,GRAYSON,VA,1500,1500
2002,GREENE,NC,11000,11400
2002,GREENE,VA,NA,700
2002,GREENSVILLE,VA,1000,1000
2002,GUILFORD,NC,3100,6300
2002,HALIFAX,NC,2300,4700
2002,HALIFAX,VA,1150,2400
2002,HANOVER,VA,7000,15000
2002,HARNETT,NC,3700,4600
2002,HAYWOOD,NC,1750,NA
2002,HENDERSON,NC,2350,4700
2002,HENRICO,VA,1700,2200
2002,HERTFORD,NC,10400,10600
2002,HOKE,NC,1900,2200
2002,HYDE,NC,27000,27600
2002,IREDELL,NC,7550,15500
2002,ISLE OF WIGHT,VA,4700,9600
2002,JAMES CITY,VA,1600,1700
2002,JOHNSTON,NC,7800,9300
2002,JONES,NC,6200,6300
2002,KING AND QUEEN,VA,6000,12500
2002,KING GEORGE,VA,3500,3700
2002,KING WILLIAM,VA,5800,12500
2002,LANCASTER,VA,5200,5500
2002,LEE,NC,700,800
2002,LEE,VA,600,1200
2002,LENOIR,NC,16600,17200
2002,LINCOLN,NC,1450,3000
2002,LOUDOUN,VA,3450,7000
2002,LOUISA,VA,1550,3200
2002,MACON,NC,225,NA
2002,MADISON,NC,250,NA
2002,MADISON,VA,3400,7400
2002,MARTIN,NC,3400,3500
2002,MATHEWS,VA,700,900
2002,MCDOWELL,NC,400,NA
2002,MECKLENBURG,NC,300,650
2002,MECKLENBURG,VA,1300,2600
2002,MIDDLESEX,VA,5300,5600
2002,MONTGOMERY,VA,2400,2900
2002,MOORE,NC,850,900
2002,NASH,NC,2600,2800
2002,NEW HANOVER,NC,500,500
2002,NEW KENT,VA,4600,4800
2002,NORTHAMPTON,NC,1900,2300
2002,NORTHAMPTON,VA,5800,6100
2002,NORTHUMBERLAND,VA,14500,15000
2002,NOTTOWAY,VA,750,1500
2002,ONSLOW,NC,10400,10700
2002,ORANGE,NC,1450,3000
2002,ORANGE,VA,4300,8700
