source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%),Year,stat_type
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,NA,998,OTHER (COMBINED) COUNTIES,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, NORTHERN, OTHER (COMBINED) COUNTIES",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,300,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,043,043,CLARKE,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, NORTHERN, CLARKE",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,4000,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,047,047,CULPEPER,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, NORTHERN, CULPEPER",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,10000,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,061,061,FAUQUIER,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, NORTHERN, FAUQUIER",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,13000,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,069,069,FREDERICK,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, NORTHERN, FREDERICK",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,2000,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,107,107,LOUDOUN,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, NORTHERN, LOUDOUN",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,8800,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,113,113,MADISON,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, NORTHERN, MADISON",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,6800,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,139,139,PAGE,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, NORTHERN, PAGE",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,3800,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,153,153,PRINCE WILLIAM,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, NORTHERN, PRINCE WILLIAM",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,3000,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,157,157,RAPPAHANNOCK,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, NORTHERN, RAPPAHANNOCK",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,1000,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,165,165,ROCKINGHAM,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, NORTHERN, ROCKINGHAM",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,34000,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,171,171,SHENANDOAH,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, NORTHERN, SHENANDOAH",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,9000,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,20,NORTHERN,179,179,STAFFORD,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, NORTHERN, STAFFORD",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,1500,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,40,WESTERN,005,005,ALLEGHANY,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, WESTERN, ALLEGHANY",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,700,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,40,WESTERN,015,015,AUGUSTA,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, WESTERN, AUGUSTA",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,23000,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,40,WESTERN,017,017,BATH,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, WESTERN, BATH",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,500,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,40,WESTERN,023,023,BOTETOURT,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, WESTERN, BOTETOURT",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,3000,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,40,WESTERN,045,045,CRAIG,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, WESTERN, CRAIG",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,600,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,40,WESTERN,091,091,HIGHLAND,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, WESTERN, HIGHLAND",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,500,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,40,WESTERN,163,163,ROCKBRIDGE,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, WESTERN, ROCKBRIDGE",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,4000,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,50,CENTRAL,NA,998,OTHER (COMBINED) COUNTIES,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, CENTRAL, OTHER (COMBINED) COUNTIES",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,600,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,50,CENTRAL,003,003,ALBEMARLE,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, CENTRAL, ALBEMARLE",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,3600,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,50,CENTRAL,007,007,AMELIA,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, CENTRAL, AMELIA",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,4100,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,50,CENTRAL,009,009,AMHERST,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, CENTRAL, AMHERST",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,800,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,50,CENTRAL,011,011,APPOMATTOX,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, CENTRAL, APPOMATTOX",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,1600,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,50,CENTRAL,019,019,BEDFORD,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, CENTRAL, BEDFORD",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,4000,NA,2000,AREA PLANTED
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA PLANTED,ACRES,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,COUNTY,51,51,VA,VIRGINIA,50,CENTRAL,029,029,BUCKINGHAM,NA,NA,00000000,NA,NA,9000,UNITED STATES,"VIRGINIA, CENTRAL, BUCKINGHAM",2000,ANNUAL,00,00,YEAR,NA,2012-01-01T00:00:00Z,800,NA,2000,AREA PLANTED
