Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,CENTRAL,50,AMELIA,7,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1960.00,7.8
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,CENTRAL,50,APPOMATTOX,11,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,230.00,3.3
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,CENTRAL,50,CAROLINE,33,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,14900.00,33.6
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,CENTRAL,50,CHESTERFIELD,41,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,820.00,3.4
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,CENTRAL,50,ORANGE,137,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,4120.00,3.2
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,EASTERN,60,ACCOMACK,1,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,23000.00,4.5
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,EASTERN,60,CHARLES CITY,36,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6140.00,3.3
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,EASTERN,60,ESSEX,57,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,12900.00,3.2
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,EASTERN,60,NEW KENT,127,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3760.00,3.3
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,EASTERN,60,NORTHAMPTON,131,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,8430.00,3.4
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,EASTERN,60,NORTHUMBERLAND,133,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,11200.00,3.4
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,EASTERN,60,RICHMOND,159,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,9250.00,3.2
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,EASTERN,60,WESTMORELAND,193,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,10700.00,3.2
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,NORTHERN,20,CULPEPER,47,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6000.00,3.3
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,NORTHERN,20,FAUQUIER,61,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,4550.00,3.2
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,NORTHERN,20,FREDERICK,69,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1380.00,3.3
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,NORTHERN,20,MADISON,113,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3230.00,3.2
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,NORTHERN,20,PAGE,139,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,430.00,4.6
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,NORTHERN,20,ROCKINGHAM,165,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,8380.00,8.5
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,NORTHERN,20,SHENANDOAH,171,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,4170.00,3.3
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,NORTHERN,20,STAFFORD,179,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1240.00,3.2
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,SOUTHEASTERN,90,CHESAPEAKE CITY,550,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5590.00,3.4
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,SOUTHEASTERN,90,DINWIDDIE,53,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,4580.00,3.2
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,SOUTHEASTERN,90,SOUTHAMPTON,175,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,11500.00,3.4
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,SOUTHEASTERN,90,SUFFOLK CITY,800,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6690.00,3.4
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,SOUTHEASTERN,90,SURRY,181,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,7140.00,3.4
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,SOUTHEASTERN,90,SUSSEX,183,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,7330.00,3.3
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,SOUTHERN,80,NOTTOWAY,135,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1600.00,2.4
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,SOUTHWESTERN,70,LEE,105,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,380.00,3.6
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,SOUTHWESTERN,70,SCOTT,169,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,100.00,2.4
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,WESTERN,40,AUGUSTA,15,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,10600.00,10.7
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,WESTERN,40,BOTETOURT,23,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,650.00,3.2
SURVEY,2024,YEAR,,COUNTY,VIRGINIA,51,WESTERN,40,ROCKBRIDGE,163,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1800.00,3.2
SURVEY,2023,YEAR,,COUNTY,VIRGINIA,51,CENTRAL,50,APPOMATTOX,11,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1460.00,16.9
SURVEY,2023,YEAR,,COUNTY,VIRGINIA,51,CENTRAL,50,CAMPBELL,31,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2680.00,13.2
SURVEY,2023,YEAR,,COUNTY,VIRGINIA,51,CENTRAL,50,CAROLINE,33,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,12900.00,12.8
SURVEY,2023,YEAR,,COUNTY,VIRGINIA,51,CENTRAL,50,ORANGE,137,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5300.00,10.9
SURVEY,2023,YEAR,,COUNTY,VIRGINIA,51,CENTRAL,50,SPOTSYLVANIA,177,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2860.00,13.4
SURVEY,2023,YEAR,,COUNTY,VIRGINIA,51,EASTERN,60,CHARLES CITY,36,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6390.00,13.1
