GEOID,county,date,mean,year
51067,Franklin,2021-04-01,0.621814206575722,2021
51093,Isle of Wight,2021-04-01,0.47085950988852143,2021
51181,Surry,2021-04-01,0.486301640905592,2021
51175,Southampton,2021-04-01,0.488061324272858,2021
51025,Brunswick,2021-04-01,0.603721603901499,2021
51159,Richmond,2021-04-01,0.49741383302624537,2021
51183,Sussex,2021-04-01,0.4946630035409257,2021
51041,Chesterfield,2021-04-01,0.5219685534636179,2021
51007,Amelia,2021-04-01,0.6142033790240677,2021
51800,Suffolk,2021-04-01,0.5100574201500202,2021
51620,Franklin,2021-04-01,0.4683712978028135,2021
51093,Isle of Wight,2021-04-08,0.5028602614504885,2021
51181,Surry,2021-04-08,0.5116839504084938,2021
51175,Southampton,2021-04-08,0.5220329101184258,2021
51025,Brunswick,2021-04-08,0.6244866049964412,2021
51159,Richmond,2021-04-08,0.5131967110788375,2021
51183,Sussex,2021-04-08,0.5347623437174852,2021
51041,Chesterfield,2021-04-08,0.4887011730670929,2021
51007,Amelia,2021-04-08,0.6465841445846701,2021
51800,Suffolk,2021-04-08,0.5240407293263484,2021
51620,Franklin,2021-04-08,0.5825167298316956,2021
51067,Franklin,2021-04-15,0.6688702091044556,2021
51093,Isle of Wight,2021-04-15,0.5004728982979956,2021
51181,Surry,2021-04-15,0.5162127602170906,2021
51175,Southampton,2021-04-15,0.5308340257448041,2021
51025,Brunswick,2021-04-15,0.6020278556056309,2021
51159,Richmond,2021-04-15,0.5381647070812227,2021
51183,Sussex,2021-04-15,0.5281026789042746,2021
51041,Chesterfield,2021-04-15,0.6230903466542562,2021
51007,Amelia,2021-04-15,0.6247809649376311,2021
51800,Suffolk,2021-04-15,0.5145484892831697,2021
51067,Franklin,2021-04-22,0.7019055805812843,2021
51093,Isle of Wight,2021-04-22,0.4874514888112798,2021
51181,Surry,2021-04-22,0.5134945196919011,2021
51175,Southampton,2021-04-22,0.4811841387511131,2021
51025,Brunswick,2021-04-22,0.6018478714822948,2021
51159,Richmond,2021-04-22,0.5070917540181286,2021
51183,Sussex,2021-04-22,0.5299772413667888,2021
51041,Chesterfield,2021-04-22,0.4994465791861481,2021
51007,Amelia,2021-04-22,0.6170874151965833,2021
51800,Suffolk,2021-04-22,0.5069655126868907,2021
51620,Franklin,2021-04-22,0.5057545542393042,2021
51760,Richmond,2021-04-22,0.3954206902782122,2021
51067,Franklin,2021-04-29,0.6833722781159919,2021
51025,Brunswick,2021-04-29,0.6617428473128669,2021
51041,Chesterfield,2021-04-29,0.6382180452346802,2021
51007,Amelia,2021-04-29,0.6218978709690585,2021
51067,Franklin,2021-05-06,0.653120137989993,2021
51093,Isle of Wight,2021-05-06,0.49038427360857856,2021
51181,Surry,2021-05-06,0.49232393923521406,2021
51175,Southampton,2021-05-06,0.4878121060025424,2021
51159,Richmond,2021-05-06,0.5296312263266995,2021
51183,Sussex,2021-05-06,0.5521401697717447,2021
51800,Suffolk,2021-05-06,0.5009798128623573,2021
51620,Franklin,2021-05-06,0.4100194805267463,2021
51093,Isle of Wight,2021-05-13,0.4906541844757847,2021
51181,Surry,2021-05-13,0.5114030235472105,2021
51175,Southampton,2021-05-13,0.4743307390684326,2021
51025,Brunswick,2021-05-13,0.6298629954829016,2021
51159,Richmond,2021-05-13,0.5178625844273479,2021
51183,Sussex,2021-05-13,0.5103693573925477,2021
51041,Chesterfield,2021-05-13,0.5092942553959535,2021
51007,Amelia,2021-05-13,0.5823833428615486,2021
51800,Suffolk,2021-05-13,0.5155089163371334,2021
51620,Franklin,2021-05-13,0.4391656607691125,2021
51760,Richmond,2021-05-13,0.6605305570363998,2021
51067,Franklin,2021-05-20,0.6115607916652493,2021
51175,Southampton,2021-05-20,0.50799229157814,2021
51025,Brunswick,2021-05-20,0.5557381474163035,2021
51041,Chesterfield,2021-05-20,0.5196449259916941,2021
51007,Amelia,2021-05-20,0.5657257249426888,2021
51067,Franklin,2021-05-27,0.6893119278884465,2021
51067,Franklin,2021-06-03,0.597870573755749,2021
51093,Isle of Wight,2021-06-03,0.5944414184925214,2021
51181,Surry,2021-06-03,0.6100250503307995,2021
51175,Southampton,2021-06-03,0.6063610040646602,2021
51025,Brunswick,2021-06-03,0.6078538732476619,2021
51159,Richmond,2021-06-03,0.6394790216268116,2021
51183,Sussex,2021-06-03,0.6321149347596858,2021
51041,Chesterfield,2021-06-03,0.5748625795046488,2021
51007,Amelia,2021-06-03,0.6154592293134904,2021
51800,Suffolk,2021-06-03,0.5982531489478177,2021
51620,Franklin,2021-06-03,0.316278338432312,2021
51093,Isle of Wight,2021-06-10,0.63926107780321,2021
51181,Surry,2021-06-10,0.6728629643971972,2021
51175,Southampton,2021-06-10,0.6575891326939467,2021
51025,Brunswick,2021-06-10,0.624283502717114,2021
51159,Richmond,2021-06-10,0.7182000859743725,2021
51183,Sussex,2021-06-10,0.6666265001148954,2021
51041,Chesterfield,2021-06-10,0.6177592773397743,2021
51007,Amelia,2021-06-10,0.6737098024066873,2021
51800,Suffolk,2021-06-10,0.6139522233335812,2021
51620,Franklin,2021-06-10,0.5243307657813946,2021
51067,Franklin,2021-06-17,0.6242988995928228,2021
51093,Isle of Wight,2021-06-17,0.6944704858471007,2021
51181,Surry,2021-06-17,0.7245256513228758,2021
51175,Southampton,2021-06-17,0.7311716999263111,2021
51025,Brunswick,2021-06-17,0.6385468817803801,2021
51159,Richmond,2021-06-17,0.7632960794746438,2021
51183,Sussex,2021-06-17,0.6967545512596808,2021
51041,Chesterfield,2021-06-17,0.6111400127410889,2021
51007,Amelia,2021-06-17,0.687651102327269,2021
51800,Suffolk,2021-06-17,0.6734983379084838,2021
51067,Franklin,2021-06-24,0.6877862150403284,2021
51093,Isle of Wight,2021-06-24,0.6951104832156647,2021
51181,Surry,2021-06-24,0.7213431778420175,2021
51175,Southampton,2021-06-24,0.6999330928180197,2021
51025,Brunswick,2021-06-24,0.6172176374219138,2021
51159,Richmond,2021-06-24,0.7543322258091253,2021
51183,Sussex,2021-06-24,0.6812618785470453,2021
51041,Chesterfield,2021-06-24,0.6880841003831634,2021
51007,Amelia,2021-06-24,0.7153442988915846,2021
51800,Suffolk,2021-06-24,0.6654329189596694,2021
51620,Franklin,2021-06-24,0.5867353746773407,2021
51760,Richmond,2021-06-24,0.8522996679941813,2021
51067,Franklin,2021-07-01,0.7130479769294331,2021
51025,Brunswick,2021-07-01,0.7425192076503931,2021
51041,Chesterfield,2021-07-01,0.5040793667236964,2021
51007,Amelia,2021-07-01,0.7856404576458235,2021
51067,Franklin,2021-07-08,0.7583381608430809,2021
51093,Isle of Wight,2021-07-08,0.7562043328603993,2021
51181,Surry,2021-07-08,0.7988873272302609,2021
51175,Southampton,2021-07-08,0.8070141102506895,2021
51159,Richmond,2021-07-08,0.8203808074591808,2021
51183,Sussex,2021-07-08,0.8699809718407893,2021
51800,Suffolk,2021-07-08,0.7474468474616525,2021
51620,Franklin,2021-07-08,0.6960561102299786,2021
51093,Isle of Wight,2021-07-15,0.7562126987526347,2021
51181,Surry,2021-07-15,0.7955277222189937,2021
51175,Southampton,2021-07-15,0.7876779261702408,2021
51025,Brunswick,2021-07-15,0.7484611442827501,2021
51159,Richmond,2021-07-15,0.8183278547399734,2021
51183,Sussex,2021-07-15,0.7926193448022357,2021
51041,Chesterfield,2021-07-15,0.7318974247411153,2021
51007,Amelia,2021-07-15,0.8096700345694993,2021
51800,Suffolk,2021-07-15,0.7473260138091663,2021
51620,Franklin,2021-07-15,0.7425738038202392,2021
51760,Richmond,2021-07-15,0.7901691402991613,2021
51067,Franklin,2021-07-22,0.7543723341038079,2021
51093,Isle of Wight,2021-07-22,0.7731969631706015,2021
51181,Surry,2021-07-22,0.7608671042408929,2021
51175,Southampton,2021-07-22,0.7916669821106751,2021
51025,Brunswick,2021-07-22,0.7544772326946259,2021
51159,Richmond,2021-07-22,0.8022618503679801,2021
51183,Sussex,2021-07-22,0.8344087209028891,2021
51041,Chesterfield,2021-07-22,0.5950761258602142,2021
51007,Amelia,2021-07-22,0.8039245215318501,2021
51800,Suffolk,2021-07-22,0.7713438637214309,2021
51620,Franklin,2021-07-22,0.7303331214249332,2021
51067,Franklin,2021-07-29,0.7633357313547012,2021
51067,Franklin,2021-08-05,0.7363496313315218,2021
51093,Isle of Wight,2021-08-05,0.815287129947888,2021
51181,Surry,2021-08-05,0.829329129704853,2021
51175,Southampton,2021-08-05,0.8289936642713142,2021
51025,Brunswick,2021-08-05,0.8583229279217035,2021
51159,Richmond,2021-08-05,0.8239586087671257,2021
51183,Sussex,2021-08-05,0.8459296469719544,2021
51041,Chesterfield,2021-08-05,0.552770471572876,2021
51007,Amelia,2021-08-05,0.840333633543757,2021
51800,Suffolk,2021-08-05,0.8095665531748738,2021
51620,Franklin,2021-08-05,0.8309636444202235,2021
51093,Isle of Wight,2021-08-12,0.7686221352923255,2021
51181,Surry,2021-08-12,0.7654136232883423,2021
51175,Southampton,2021-08-12,0.7947303599086672,2021
51025,Brunswick,2021-08-12,0.7644460995992025,2021
51159,Richmond,2021-08-12,0.7789321101664636,2021
51183,Sussex,2021-08-12,0.7884303636765564,2021
51041,Chesterfield,2021-08-12,0.6521274447441101,2021
51007,Amelia,2021-08-12,0.8144401239808321,2021
51800,Suffolk,2021-08-12,0.7774848127265506,2021
51620,Franklin,2021-08-12,0.8533861500313848,2021
51760,Richmond,2021-08-12,0.8108277320861816,2021
51067,Franklin,2021-08-19,0.7897828681579316,2021
51025,Brunswick,2021-08-19,0.8653736310260681,2021
51041,Chesterfield,2021-08-19,0.5094936192035675,2021
51007,Amelia,2021-08-19,0.8283294591458,2021
51093,Isle of Wight,2021-08-26,0.7723942241232243,2021
51181,Surry,2021-08-26,0.7778977817731134,2021
51175,Southampton,2021-08-26,0.7777409420659497,2021
51159,Richmond,2021-08-26,0.7639718056767497,2021
51183,Sussex,2021-08-26,0.7463654671149926,2021
51800,Suffolk,2021-08-26,0.782670378541398,2021
51620,Franklin,2021-08-26,0.8273020068239607,2021
51093,Isle of Wight,2021-09-02,0.7562766728541036,2021
51181,Surry,2021-09-02,0.7536921498097728,2021
