date,county,year,T_avg
2023-01-01,Roanoke,2023,11.768189757764247
2023-01-01,Alleghany,2023,10.20189988954892
2023-01-01,Bath,2023,9.162763210922911
2023-01-01,Amherst,2023,10.968464173964868
2023-01-01,Bedford,2023,10.933094746722148
2023-01-01,Franklin,2023,10.989803546344756
2023-01-01,Roanoke,2023,10.668843819850464
2023-01-01,Augusta,2023,10.896484205805438
2023-01-01,Fairfax,2023,10.52419093320031
2023-01-01,Richmond,2023,9.786267170116256
2023-01-01,Appomattox,2023,12.313181142111643
2023-01-01,Fairfax,2023,10.740899849397612
2023-01-01,Franklin,2023,11.13085822699152
2023-01-01,Richmond,2023,11.143177869752972
2023-01-08,Roanoke,2023,-0.6499999999999773
2023-01-08,Alleghany,2023,-0.7433674484447068
2023-01-08,Bath,2023,-1.358590283888268
2023-01-08,Amherst,2023,1.6157107437434666
2023-01-08,Bedford,2023,1.204734578755592
2023-01-08,Franklin,2023,1.5194074015389631
2023-01-08,Roanoke,2023,0.1575158704967732
2023-01-08,Augusta,2023,-1.4236152677553853
2023-01-08,Fairfax,2023,-0.8838274317586092
2023-01-08,Richmond,2023,NA
2023-01-08,Appomattox,2023,0.15771910182251078
2023-01-08,Fairfax,2023,NA
2023-01-08,Franklin,2023,NA
2023-01-08,Richmond,2023,NA
2023-01-15,Roanoke,2023,4.24199780769558
2023-01-15,Alleghany,2023,5.7364780382424305
2023-01-15,Bath,2023,3.642156680118849
2023-01-15,Amherst,2023,5.35812411037856
2023-01-15,Bedford,2023,5.460011101208782
2023-01-15,Franklin,2023,3.855995538051246
2023-01-15,Roanoke,2023,4.481318914150576
2023-01-15,Augusta,2023,3.4147294080743755
2023-01-15,Fairfax,2023,3.67142988115184
2023-01-15,Richmond,2023,5.46986216880474
2023-01-15,Appomattox,2023,5.229702377663707
2023-01-15,Fairfax,2023,2.4307479797030944
2023-01-15,Franklin,2023,5.454053799303975
2023-01-15,Richmond,2023,5.757558151937892
2023-01-22,Roanoke,2023,4.804288625312714
2023-01-22,Alleghany,2023,0.9726190020161574
2023-01-22,Bath,2023,-0.4283993155314891
2023-01-22,Amherst,2023,4.397669748632639
2023-01-22,Bedford,2023,4.4503778340457405
2023-01-22,Franklin,2023,4.498147746019249
2023-01-22,Roanoke,2023,4.134552416650216
2023-01-22,Augusta,2023,0.3838553395676293
2023-01-22,Fairfax,2023,2.763727381497546
2023-01-22,Richmond,2023,3.209639680390888
2023-01-22,Appomattox,2023,3.600577764408329
2023-01-22,Fairfax,2023,NA
2023-01-22,Franklin,2023,5.375397331786574
2023-01-22,Richmond,2023,5.193633561993846
2023-01-29,Roanoke,2023,-0.8694911151611537
2023-01-29,Alleghany,2023,-4.8051637976746
2023-01-29,Bath,2023,-6.572986211019942
2023-01-29,Amherst,2023,-2.963607170462774
2023-01-29,Bedford,2023,-1.785694524076214
2023-01-29,Franklin,2023,-1.4299738758282643
2023-01-29,Roanoke,2023,-2.4578510535140428
2023-01-29,Augusta,2023,-4.92916201201086
2023-01-29,Fairfax,2023,-3.1642514051028887
2023-01-29,Richmond,2023,-2.2088187052499357
2023-01-29,Appomattox,2023,-3.0243129188323827
2023-01-29,Fairfax,2023,-2.8833753053936975
2023-01-29,Franklin,2023,0.4110469837587282
2023-01-29,Richmond,2023,-0.6442985409651795
2023-02-05,Roanoke,2023,6.6182521798211145
2023-02-05,Alleghany,2023,2.101208544955418
2023-02-05,Bath,2023,3.716990631344654
2023-02-05,Amherst,2023,6.460053882957031
2023-02-05,Bedford,2023,6.227954229319676
2023-02-05,Franklin,2023,5.9971690570224885
2023-02-05,Roanoke,2023,5.569517709984366
2023-02-05,Augusta,2023,6.943604649774255
2023-02-05,Fairfax,2023,8.41004902476491
2023-02-05,Richmond,2023,5.340368985866426
2023-02-05,Appomattox,2023,6.3774475126768015
2023-02-05,Fairfax,2023,8.294937845303904
2023-02-05,Franklin,2023,9.012757153905676
