system:index,T_avg,T_day,T_night,date,.geo
2021_01_02,8.897103451574377,10.36052995383789,6.496182634577438,2021-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_04,5.139064979811615,7.106158203822736,0.8223798712144632,2021-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_05,1.1625190100222988,2.9452906930614904,-0.7069378978630902,2021-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_06,3.8786695002679763,7.270677468969546,-0.39462380511259937,2021-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_07,3.039943169723749,5.961033001973786,-0.41820102241277396,2021-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_09,2.133962961236279,5.44745810096085,-1.1648862396849737,2021-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_10,3.315046508491467,5.786119303401456,-0.5832731840853567,2021-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_11,0.06469827721469949,1.9071522994718746,-2.970534703413342,2021-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_12,2.31240644860904,7.20363949733654,-2.3786746708477517,2021-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_13,2.9007858716833885,7.2912393798259245,-1.9201300032168456,2021-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_14,3.6054001122811843,8.273685425733865,-1.4577150045150913,2021-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_15,4.559374481460458,9.355764295425365,-0.9781855961479071,2021-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_16,-1.5115128849499335,4.613174312580321,-1.681482663309949,2021-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_17,3.323510783445614,6.415806495369371,-0.5946290409351408,2021-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_18,4.355645503820633,7.546748055644349,-0.4743058883675192,2021-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_19,3.6054697332712884,6.248590568313723,-0.37698813819606386,2021-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_20,3.65609166860561,7.3213240323963475,-1.0813099379757336,2021-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_21,2.369154305964865,8.47378023540265,-3.4505362757878224,2021-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_22,4.90186530769132,9.597995107797576,0.300899527368626,2021-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_23,2.2014075872019503,4.141604897309682,-0.4252035678460619,2021-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_24,-0.6226029984202559,3.603613237037353,-5.171869506092972,2021-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_27,6.3483397173704175,7.867404929811904,3.6391484624763346,2021-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_28,-4.7440122511485185,0.1651339172792572,-9.198966376089636,2021-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_29,-1.6719094401727823,0.6404266531388554,-4.689759163087178,2021-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_30,-1.6507144619840675,1.119686824989377,-5.68849443148016,2021-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_02,-9.27307692307689,-2.7277786730829945,-6.738461284499446,2021-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_03,-3.0164143547595894,1.5898728482089906,-8.724918040466504,2021-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_04,2.1741967523129695,4.632625318972623,-1.9560805387646187,2021-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_05,-2.394417446383487,7.896704129065853,-8.713898036732076,2021-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_06,5.285905368047385,10.731101279170323,-1.4192361084525917,2021-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_08,1.603109705809689,3.6809821067811557,-1.7927003259510244,2021-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_09,3.4779554485920827,9.216070337139369,-1.709518312215068,2021-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_10,5.057725339783667,7.163870913506677,3.37762153110885,2021-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_16,4.089807692307723,10.714977416021776,1.5626732333958462,2021-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_17,3.1495471839407165,3.738891719480523,0.5496060828607406,2021-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_19,-7.973636363636339,2.858856623862206,-7.2269527634224575,2021-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_20,0.5878832761290924,2.195131699889454,-1.6592590545096777,2021-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_21,0.5296906837284737,4.7643743822835365,-4.579375946982016,2021-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_23,6.469255332257832,11.678797331840462,0.9076936405624975,2021-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_24,9.65253752426768,16.511881671332027,2.745020079306091,2021-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_25,11.94094520596827,15.073871376803616,8.29510581460442,2021-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_26,4.172585805043214,7.431203030530184,2.5373009252688536,2021-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_27,2.8737037037037356,6.8215920597401,1.9865378104938243,2021-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_02,4.818922045139215,9.525522550671736,0.4396021937732255,2021-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_03,6.496838512806855,14.04767181258604,-1.241409938220544,2021-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_04,8.661381588197726,14.500055701483957,2.768782928057194,2021-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_05,5.777141674045702,8.583213702637789,2.824817234357046,2021-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_06,3.8350252184486955,8.655204233850265,-1.7789599411899966,2021-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_07,4.35012159186121,10.98083573245925,-2.225858942935786,2021-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_08,5.004917307401857,12.151148062930503,-2.204684609488254,2021-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_09,9.347710251293284,18.136197117986573,0.480003219723625,2021-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_10,11.292827289277408,21.519180169985372,3.714195742557542,2021-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_11,15.769617194253504,23.563385659834605,8.385239860398354,2021-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_12,14.456992420886536,18.235183506815083,11.163094564476454,2021-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_13,11.772721571285345,17.592864488067054,9.322897861733543,2021-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_14,10.880410986017885,17.94868070240909,3.602789395700902,2021-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_15,7.732977541607394,12.509241808373543,2.837466410352687,2021-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_17,9.557962480491389,14.370091247757241,6.74354661992822,2021-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
